tweet_id,account_id,likes,replies,retweets,tweet,time,year_month_day
22932,230,0.0,0.0,0.0,Hurricane Harvey is going to poison Toomer's Corner again,2017-06-01 18:36:00,2017-6-1
39566,396,1.0,0.0,0.0,"Harvey is a good one. Think of the headline puns: ""Hurricane Harvey Dents Coast, Gotham""",2017-06-01 13:10:00,2017-6-1
100145,1002,0.0,1.0,1.0,Can't wait for the ill-conceived Hurricane Harvey promotion the Mets pull out after it destroys the coast. https://twitter.com/jillszwedwx/status/870310490299179008 ,2017-06-01 17:54:00,2017-6-1
100255,1003,2.0,0.0,0.0,There's no way I'm going to be offed by Hurricane Harvey.,2017-06-01 17:33:00,2017-6-1
105311,1054,0.0,0.0,0.0,Pretty certain I saw Hurricane Harvey do the job for JYD in Mid South. https://twitter.com/JillSzwedWx/status/870310490299179008 ,2017-06-01 16:46:00,2017-6-1
111221,1113,0.0,0.0,0.0,hurricane Harvey Price? Oh no...,2017-06-01 15:25:00,2017-6-1
116524,1166,3.0,0.0,0.0,@kenzieetaylor15 hurricane harvey https://twitter.com/amhq/status/870233468780765184 ,2017-06-01 16:35:00,2017-6-1
124435,1245,0.0,0.0,0.0,@M_B_G_21 @GirdnerKaleb @Hunter_Girdner Hurricane Harvey is coming this year. He's gonna get your trees one way or another https://twitter.com/jillszwedwx/status/870310490299179008 ,2017-06-01 17:47:00,2017-6-1
145691,1457,1.0,0.0,0.0,Hurricane Harvey  @Harveyrolltidehttps://twitter.com/cecilhurt/status/870333298744188928 ,2017-06-01 19:18:00,2017-6-1
147139,1472,0.0,0.0,0.0,I'm thinking hurricane Harvey is gonna be the one to fuck shit up the most https://twitter.com/kaitiblake/status/869975020792979457 ,2017-06-01 17:34:00,2017-6-1
173060,1731,2.0,0.0,0.0,"""Hey Bill, its Harv! You know, Hurricane Harvey! Listen, Bill, bit of a bind here, rough month, need to unload ten units ASAP, you my guy?""",2017-06-01 17:44:00,2017-6-1
189470,1895,2.0,1.0,1.0,"Hurricane Harvey gonna go up to Louisiana and say ""nope, sorry I read that wrong, it's supposed to be Florida"" and take a sharp right https://twitter.com/kaitiblake/status/869975020792979457 ",2017-06-01 18:40:00,2017-6-1
216111,2162,0.0,0.0,0.0,I can't wait for Hurricane Harvey.,2017-06-01 14:37:00,2017-6-1
231026,2311,0.0,0.0,0.0,"Was just about to reply, You just know Hurricane Harvey will happen for the Mets.",2017-06-01 17:51:00,2017-6-1
233813,2339,10.0,0.0,3.0,hurricane harvey will touch down in south florida and then apologize and say 'i was suppose to hit the carolinas' https://twitter.com/JillSzwedWx/status/870310490299179008 ,2017-06-01 16:52:00,2017-6-1
236157,2362,0.0,0.0,0.0,Hurricane Harvey will be quite laid back. https://twitter.com/NHC_Atlantic/status/870203045799485440 ,2017-06-01 12:34:00,2017-6-1
236218,2363,0.0,2.0,0.0,Folks in Auburn had better be aware of Hurricane Harvey.... https://twitter.com/jillszwedwx/status/870310490299179008 ,2017-06-01 17:38:00,2017-6-1
247777,2478,2.0,1.0,0.0,Hurricane Harvey will be the first major Atlantic storm with opinions on the 1927 Yankees to make landfall.,2017-06-01 17:33:00,2017-6-1
251560,2516,0.0,0.0,0.0,@finebaum @HarveyUpdike Hurricane Harvey...Expect significant tree damage! Hurricane Tammy: a lot of hot air,2017-06-01 22:25:00,2017-6-1
254475,2545,0.0,0.0,0.0,Hurricane Harvey! September is gonna be fun on a bun. #LGMhttps://twitter.com/JillSzwedWx/status/870310490299179008 ,2017-06-01 17:53:00,2017-6-1
284095,2841,1.0,0.0,0.0,Hurricane Harvey will leave behind a scent of old chewing tobacco and trail of destruction that miraculously leaves every Trans Am unscathed,2017-06-01 16:52:00,2017-6-1
295416,2955,0.0,0.0,0.0,Trees aren't gonna stand a chance against Hurricane Harvey. https://twitter.com/jillszwedwx/status/870310490299179008 ,2017-06-01 17:28:00,2017-6-1
299515,2996,0.0,1.0,0.0,Hurricane Harvey seems to wipe out my lineups about every fifth day. https://twitter.com/AMHQ/status/870233468780765184 ,2017-06-01 13:23:00,2017-6-1
305094,3051,1.0,0.0,2.0,"Hurricane Harvey will start out as a Cat 4/5 monster, get highly sheared, then piddle along as a shell of what it once was.  #storms #metshttps://twitter.com/JillSzwedWx/status/870310490299179008 ",2017-06-01 16:45:00,2017-6-1
331427,3315,3.0,3.0,0.0,"Hurricane Emily will probably cheat on you with your best friend. Also, stay away from Hurricane Harvey bc he's a sex offender. https://twitter.com/amhq/status/870233468780765184 ",2017-06-01 17:55:00,2017-6-1
333651,3337,0.0,0.0,0.0,"RT KEEMSTAR ""Prediction!

Hurricane Harvey 2017

Trump sends in troops!""",2017-06-01 14:47:00,2017-6-1
336678,3367,1.0,1.0,0.0,"Also, Hurricane Harvey. Insert Mets joke here.",2017-06-01 17:44:00,2017-6-1
339667,3397,0.0,0.0,0.0,"HURRICANE HARVEY, CAN WE TRUST HIM?",2017-06-01 17:15:00,2017-6-1
343994,3440,0.0,1.0,0.0,Hurricane Harvey will be strong for the first few minutes then be non-existent for the rest of its duration https://twitter.com/AMHQ/status/870233468780765184 ,2017-06-01 15:18:00,2017-6-1
344517,3446,436.0,29.0,13.0,"Prediction!

Hurricane Harvey 2017

Trump sends in troops!",2017-06-01 14:46:00,2017-6-1
344880,3449,1.0,0.0,0.0,Hurricane Harvey sounds like a 70s dance move that never caught on,2017-06-01 16:09:00,2017-6-1
348264,3483,2.0,0.0,1.0,"Hurricane Harvey is going to say it's going to hit Florida, but really it hits California. https://twitter.com/AMHQ/status/870233468780765184 ",2017-06-01 20:45:00,2017-6-1
379720,3798,354.0,15.0,133.0,Hurricane Harvey is probably going to get your trees one way or the other. https://twitter.com/JillSzwedWx/status/870310490299179008 ,2017-06-01 17:36:00,2017-6-1
387216,3873,1.0,0.0,1.0,Can't wait for two-faced Hurricane Harvey Dent https://twitter.com/JillSzwedWx/status/870310490299179008 ,2017-06-01 17:24:00,2017-6-1
